service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Artifact Registry,Artifact Registry Storage,10.0,global,149C-F9EC-3994,8502-299A-ABAF,0.95,
Cloud Run,CPU Allocation Time (tier 2),75000000,global,152E-C115-5142,085C-A237-027A,2.52,
Cloud Run,Memory Allocation Time (tier 2),37500000,global,152E-C115-5142,600C-3782-6708,0.13125,
Cloud Run,Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - vCPU in Jakarta,30.416666666666668,asia-southeast2,9662-B51E-5089,283B-F56E-6593,39.201,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - RAM in Jakarta,114.0625,asia-southeast2,9662-B51E-5089,6C90-4678-F5DD,24.91125,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - Standard storage in Jakarta,608.3333333333334,asia-southeast2,9662-B51E-5089,261C-8069-2AD8,4.11645,
Cloud Build,Build time e2-medium,1440.0,global,8B5D-EF7D-EB12,DDCF-F323-0860,4.32,
,SSD disk for build time,0.0,global,8B5D-EF7D-EB12,0121-4BE5-8641,0,
Cloud Storage,Standard Storage Jakarta,100.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,2.3,
,,,,,,,
,,,,,Total Price:,81.64995,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-11T12:01:22.050Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVE0TkRGaE1EVXhZaTFsTkRnMUxUUTJZMkl0T0RJM05DMDRZV014T0dNM1pHUmhaaklRQVE9PRokNTlGOUUxMzQtRkZDQS00Q0ZELUE5Q0YtNTI1NEVEQjBFOUMy,,,,,,
